CELL,TECHNOLOGY,CLUSTERTYPE,PROVINCE
7599B2,3G,High,GAUTENG
7599C,2G,High,GAUTENG
7599C1,3G,High,GAUTENG
7599C2,3G,High,GAUTENG
759A,2G,Good,NORTH WEST
759B,2G,Good,NORTH WEST
759C,2G,Good,NORTH WEST
75A,2G,Premium,GAUTENG
75B,2G,Premium,GAUTENG
75C,2G,Premium,GAUTENG
7600A,2G,High,GAUTENG
7600A1,3G,High,GAUTENG
7600A2,3G,High,GAUTENG
7600B,2G,High,GAUTENG
7600B1,3G,High,GAUTENG
7600B2,3G,High,GAUTENG
7600C,2G,High,GAUTENG
7600C1,3G,High,GAUTENG
7600C2,3G,High,GAUTENG
7601A1,3G,High,GAUTENG
7601A2,3G,High,GAUTENG
7601B1,3G,High,GAUTENG
7601B2,3G,High,GAUTENG
7601C1,3G,High,GAUTENG
7601C2,3G,High,GAUTENG
7605A,2G,High,MPUMALANGA
7605A1,3G,High,MPUMALANGA
7605A2,3G,High,MPUMALANGA
7605B,2G,High,MPUMALANGA
7605B1,3G,High,MPUMALANGA
7605B2,3G,High,MPUMALANGA
7605C,2G,High,MPUMALANGA
7605C1,3G,High,MPUMALANGA
7605C2,3G,High,MPUMALANGA
760A,2G,Premium,WESTERN CAPE
760A1,3G,Premium,WESTERN CAPE
760A2,3G,Premium,WESTERN CAPE
760B,2G,Premium,WESTERN CAPE
760B1,3G,Premium,WESTERN CAPE
760B2,3G,Premium,WESTERN CAPE
760C,2G,Premium,WESTERN CAPE
760C1,3G,Premium,WESTERN CAPE
760C2,3G,Premium,WESTERN CAPE
7610A,2G,Good,GAUTENG
7610A1,3G,Good,GAUTENG
7610A2,3G,Good,GAUTENG
7610B,2G,Good,GAUTENG
7610B1,3G,Good,GAUTENG
7610B2,3G,Good,GAUTENG
7610C,2G,Good,GAUTENG
7610C1,3G,Good,GAUTENG
7610C2,3G,Good,GAUTENG
7611A,2G,Good,GAUTENG
7611A1,3G,Good,GAUTENG
7611A2,3G,Good,GAUTENG
7611B,2G,Good,GAUTENG
7611B1,3G,Good,GAUTENG
7611B2,3G,Good,GAUTENG
7611C,2G,Good,GAUTENG
7611C1,3G,Good,GAUTENG
7611C2,3G,Good,GAUTENG
7617A,2G,Good,GAUTENG
7617A1,3G,Good,GAUTENG
7617A2,3G,Good,GAUTENG
7617B,2G,Good,GAUTENG
7617B1,3G,Good,GAUTENG
7617B2,3G,Good,GAUTENG
7617C,2G,Good,GAUTENG
7617C1,3G,Good,GAUTENG
7617C2,3G,Good,GAUTENG
761A,2G,Premium,GAUTENG
761A1,3G,Premium,GAUTENG
761A2,3G,Premium,GAUTENG
761B,2G,Premium,GAUTENG
761B1,3G,Premium,GAUTENG
761B2,3G,Premium,GAUTENG
761C,2G,Premium,GAUTENG
761C1,3G,Premium,GAUTENG
761C2,3G,Premium,GAUTENG
7626A1,3G,High,GAUTENG
7626A2,3G,High,GAUTENG
7626B1,3G,High,GAUTENG
7626B2,3G,High,GAUTENG
7626C1,3G,High,GAUTENG
7626C2,3G,High,GAUTENG
762A,2G,Premium,GAUTENG
762A1,3G,Premium,GAUTENG
762A2,3G,Premium,GAUTENG
762B,2G,Premium,GAUTENG
762B1,3G,Premium,GAUTENG
762B2,3G,Premium,GAUTENG
762C,2G,Premium,GAUTENG
762C1,3G,Premium,GAUTENG
762C2,3G,Premium,GAUTENG
7631A,2G,High,KWAZULU-NATAL
7631A1,3G,High,KWAZULU-NATAL
7631A2,3G,High,KWAZULU-NATAL
7631B,2G,High,KWAZULU-NATAL
7631B1,3G,High,KWAZULU-NATAL
7631B2,3G,High,KWAZULU-NATAL
7631C,2G,High,KWAZULU-NATAL
7631C1,3G,High,KWAZULU-NATAL
7631C2,3G,High,KWAZULU-NATAL
7633A,2G,Good,KWAZULU-NATAL
7633B,2G,Good,KWAZULU-NATAL
7633C,2G,Good,KWAZULU-NATAL
7634A,2G,Premium,KWAZULU-NATAL
7634A1,3G,Premium,KWAZULU-NATAL
7634A2,3G,Premium,KWAZULU-NATAL
7634B,2G,Premium,KWAZULU-NATAL
7634B1,3G,Premium,KWAZULU-NATAL
7634B2,3G,Premium,KWAZULU-NATAL
7634C,2G,Premium,KWAZULU-NATAL
7634C1,3G,Premium,KWAZULU-NATAL
7634C2,3G,Premium,KWAZULU-NATAL
7636A,2G,High,KWAZULU-NATAL
7636A1,3G,High,KWAZULU-NATAL
7636A2,3G,High,KWAZULU-NATAL
7639A,2G,Good,KWAZULU-NATAL
7639B,2G,Good,KWAZULU-NATAL
7639C,2G,Good,KWAZULU-NATAL
763A,2G,Premium,WESTERN CAPE
763A1,3G,Premium,WESTERN CAPE
763A2,3G,Premium,WESTERN CAPE
763B,2G,Premium,WESTERN CAPE
763B1,3G,Premium,WESTERN CAPE
763B2,3G,Premium,WESTERN CAPE
7640A,2G,High,KWAZULU-NATAL
7640A1,3G,High,KWAZULU-NATAL
7640A2,3G,High,KWAZULU-NATAL
7640B,2G,High,KWAZULU-NATAL
7640B1,3G,High,KWAZULU-NATAL
7640B2,3G,High,KWAZULU-NATAL
7643A1,3G,Premium,KWAZULU-NATAL
7643A2,3G,Premium,KWAZULU-NATAL
7643B1,3G,Premium,KWAZULU-NATAL
7643B2,3G,Premium,KWAZULU-NATAL
7644A1,3G,Premium,KWAZULU-NATAL
7644A2,3G,Premium,KWAZULU-NATAL
7644B1,3G,Premium,KWAZULU-NATAL
7644B2,3G,Premium,KWAZULU-NATAL
7645A,2G,High,KWAZULU-NATAL
7645A1,3G,High,KWAZULU-NATAL
7646A,2G,Premium,KWAZULU-NATAL
7646A1,3G,Premium,KWAZULU-NATAL
7646B,2G,Premium,KWAZULU-NATAL
7646B1,3G,Premium,KWAZULU-NATAL
7646C,2G,Premium,KWAZULU-NATAL
7646C1,3G,Premium,KWAZULU-NATAL
7648A1,3G,Premium,KWAZULU-NATAL
7648A2,3G,Premium,KWAZULU-NATAL
7648B1,3G,Premium,KWAZULU-NATAL
7648B2,3G,Premium,KWAZULU-NATAL
7648C1,3G,Premium,KWAZULU-NATAL
7648C2,3G,Premium,KWAZULU-NATAL
7649A1,3G,Premium,KWAZULU-NATAL
7649A2,3G,Premium,KWAZULU-NATAL
7649B1,3G,Premium,KWAZULU-NATAL
7649B2,3G,Premium,KWAZULU-NATAL
7649C1,3G,Premium,KWAZULU-NATAL
7649C2,3G,Premium,KWAZULU-NATAL
764A,2G,High,WESTERN CAPE
764A1,3G,High,WESTERN CAPE
764A2,3G,High,WESTERN CAPE
764B,2G,High,WESTERN CAPE
764B1,3G,High,WESTERN CAPE
764B2,3G,High,WESTERN CAPE
7650A,2G,Good,EASTERN CAPE
7650B,2G,Good,EASTERN CAPE
7650C,2G,Good,EASTERN CAPE
7652A1,3G,High,WESTERN CAPE
7652A2,3G,High,WESTERN CAPE
7652B1,3G,High,WESTERN CAPE
7652B2,3G,High,WESTERN CAPE
7652C1,3G,High,WESTERN CAPE
7652C2,3G,High,WESTERN CAPE
7653A,2G,Premium,WESTERN CAPE
7653A1,3G,Premium,WESTERN CAPE
7655A,2G,Premium,WESTERN CAPE
7655A1,3G,Premium,WESTERN CAPE
7655A2,3G,Premium,WESTERN CAPE
765A,2G,Premium,EASTERN CAPE
765A1,3G,Premium,EASTERN CAPE
765A2,3G,Premium,EASTERN CAPE
765B,2G,Premium,EASTERN CAPE
765B1,3G,Premium,EASTERN CAPE
765B2,3G,Premium,EASTERN CAPE
765C,2G,Premium,EASTERN CAPE
765C1,3G,Premium,EASTERN CAPE
765C2,3G,Premium,EASTERN CAPE
7660A,2G,Premium,WESTERN CAPE
7660A1,3G,Premium,WESTERN CAPE
7660A2,3G,Premium,WESTERN CAPE
7660B,2G,Premium,WESTERN CAPE
7660B1,3G,Premium,WESTERN CAPE
7660B2,3G,Premium,WESTERN CAPE
7660C,2G,Premium,WESTERN CAPE
7660C1,3G,Premium,WESTERN CAPE
7660C2,3G,Premium,WESTERN CAPE
7665A,2G,Premium,WESTERN CAPE
7665A1,3G,Premium,WESTERN CAPE
7665A2,3G,Premium,WESTERN CAPE
7665B,2G,Premium,WESTERN CAPE
7665B1,3G,Premium,WESTERN CAPE
7665B2,3G,Premium,WESTERN CAPE
7665C,2G,Premium,WESTERN CAPE
7665C1,3G,Premium,WESTERN CAPE
7665C2,3G,Premium,WESTERN CAPE
7666A,2G,Premium,WESTERN CAPE
7666A1,3G,Premium,WESTERN CAPE
7666A2,3G,Premium,WESTERN CAPE
7666B,2G,Premium,WESTERN CAPE
7666B1,3G,Premium,WESTERN CAPE
7666B2,3G,Premium,WESTERN CAPE
7666C,2G,Premium,WESTERN CAPE
7666C1,3G,Premium,WESTERN CAPE
7666C2,3G,Premium,WESTERN CAPE
7667A,2G,High,WESTERN CAPE
7667A1,3G,High,WESTERN CAPE
7667A2,3G,High,WESTERN CAPE
7667B,2G,High,WESTERN CAPE
7667B1,3G,High,WESTERN CAPE
7667B2,3G,High,WESTERN CAPE
7667C,2G,High,WESTERN CAPE
7667C1,3G,High,WESTERN CAPE
7667C2,3G,High,WESTERN CAPE
7668A,2G,High,WESTERN CAPE
7668A1,3G,High,WESTERN CAPE
7668A2,3G,High,WESTERN CAPE
7668B,2G,High,WESTERN CAPE
7668B1,3G,High,WESTERN CAPE
7668B2,3G,High,WESTERN CAPE
7668C,2G,High,WESTERN CAPE
7668C1,3G,High,WESTERN CAPE
7668C2,3G,High,WESTERN CAPE
7669A,2G,High,WESTERN CAPE
7669A1,3G,High,WESTERN CAPE
7669B,2G,High,WESTERN CAPE
7669B1,3G,High,WESTERN CAPE
7670A,2G,Premium,WESTERN CAPE
7670A1,3G,Premium,WESTERN CAPE
7670A2,3G,Premium,WESTERN CAPE
7670B,2G,Premium,WESTERN CAPE
7670B1,3G,Premium,WESTERN CAPE
7670B2,3G,Premium,WESTERN CAPE
7670C,2G,Premium,WESTERN CAPE
7670C1,3G,Premium,WESTERN CAPE
7670C2,3G,Premium,WESTERN CAPE
7671A1,3G,Premium,FREE STATE
7671A2,3G,Premium,FREE STATE
7671B1,3G,Premium,FREE STATE
7671B2,3G,Premium,FREE STATE
7671C1,3G,Premium,FREE STATE
7671C2,3G,Premium,FREE STATE
7672A1,3G,Premium,FREE STATE
7672A2,3G,Premium,FREE STATE
7672B1,3G,Premium,FREE STATE
7672B2,3G,Premium,FREE STATE
7672C1,3G,Premium,FREE STATE
7672C2,3G,Premium,FREE STATE
7678A1,3G,High,GAUTENG
7678A2,3G,High,GAUTENG
7678B1,3G,High,GAUTENG
7678B2,3G,High,GAUTENG
7678C1,3G,High,GAUTENG
7678C2,3G,High,GAUTENG
7679A1,3G,Premium,GAUTENG
7679A2,3G,Premium,GAUTENG
7679B1,3G,Premium,GAUTENG
7679B2,3G,Premium,GAUTENG
7679C1,3G,Premium,GAUTENG
7679C2,3G,Premium,GAUTENG
767A,2G,Good,WESTERN CAPE
767B,2G,Good,WESTERN CAPE
7685A1,3G,High,GAUTENG
7685A2,3G,High,GAUTENG
7685B1,3G,High,GAUTENG
7685B2,3G,High,GAUTENG
7685C1,3G,High,GAUTENG
7685C2,3G,High,GAUTENG
7688A1,3G,Premium,GAUTENG
7688A2,3G,Premium,GAUTENG
7688B1,3G,Premium,GAUTENG
7688B2,3G,Premium,GAUTENG
7688C1,3G,Premium,GAUTENG
7688C2,3G,Premium,GAUTENG
7689A1,3G,Premium,GAUTENG
7689B1,3G,Premium,GAUTENG
7689C1,3G,Premium,GAUTENG
768A,2G,Good,WESTERN CAPE
768B,2G,Good,WESTERN CAPE
7690A1,3G,High,GAUTENG
7690A2,3G,High,GAUTENG
7690B1,3G,High,GAUTENG
7690B2,3G,High,GAUTENG
7690C1,3G,High,GAUTENG
7690C2,3G,High,GAUTENG
7692A1,3G,Premium,GAUTENG
7692A2,3G,Premium,GAUTENG
7692B1,3G,Premium,GAUTENG
7692B2,3G,Premium,GAUTENG
7692C1,3G,Premium,GAUTENG
7692C2,3G,Premium,GAUTENG
7694A1,3G,Premium,GAUTENG
7694A2,3G,Premium,GAUTENG
7694B1,3G,Premium,GAUTENG
7694B2,3G,Premium,GAUTENG
7694C1,3G,Premium,GAUTENG
7694C2,3G,Premium,GAUTENG
7695A,2G,Premium,GAUTENG
7695A1,3G,Premium,GAUTENG
7695B,2G,Premium,GAUTENG
7695B1,3G,Premium,GAUTENG
7695C,2G,Premium,GAUTENG
7695C1,3G,Premium,GAUTENG
7697A1,3G,Premium,GAUTENG
7697A2,3G,Premium,GAUTENG
7697B1,3G,Premium,GAUTENG
7697B2,3G,Premium,GAUTENG
7697C1,3G,Premium,GAUTENG
7697C2,3G,Premium,GAUTENG
769A,2G,Premium,WESTERN CAPE
769A1,3G,Premium,WESTERN CAPE
769B,2G,Premium,WESTERN CAPE
769B1,3G,Premium,WESTERN CAPE
769C,2G,Premium,WESTERN CAPE
769C1,3G,Premium,WESTERN CAPE
76A,2G,Premium,GAUTENG
76A1,3G,Premium,GAUTENG
76A2,3G,Premium,GAUTENG
76B,2G,Premium,GAUTENG
76B1,3G,Premium,GAUTENG
76B2,3G,Premium,GAUTENG
76C,2G,Premium,GAUTENG
76C1,3G,Premium,GAUTENG
76C2,3G,Premium,GAUTENG
7701A1,3G,High,MPUMALANGA
7701B1,3G,High,MPUMALANGA
7701C1,3G,High,MPUMALANGA
7706A1,3G,Premium,GAUTENG
7706A2,3G,Premium,GAUTENG
7706B1,3G,Premium,GAUTENG
7706B2,3G,Premium,GAUTENG
7706C1,3G,Premium,GAUTENG
7706C2,3G,Premium,GAUTENG
7707A1,3G,Premium,GAUTENG
7707A2,3G,Premium,GAUTENG
7707B1,3G,Premium,GAUTENG
7707B2,3G,Premium,GAUTENG
7707C1,3G,Premium,GAUTENG
7707C2,3G,Premium,GAUTENG
770A,2G,High,WESTERN CAPE
770A1,3G,High,WESTERN CAPE
770B,2G,High,WESTERN CAPE
770B1,3G,High,WESTERN CAPE
770C,2G,High,WESTERN CAPE
770C1,3G,High,WESTERN CAPE
7711A1,3G,High,GAUTENG
7711A2,3G,High,GAUTENG
7711B1,3G,High,GAUTENG
7711B2,3G,High,GAUTENG
7711C1,3G,High,GAUTENG
7711C2,3G,High,GAUTENG
7713A,2G,High,MPUMALANGA
7713A1,3G,High,MPUMALANGA
7713B,2G,High,MPUMALANGA
7713B1,3G,High,MPUMALANGA
7713C,2G,High,MPUMALANGA
7713C1,3G,High,MPUMALANGA
7714A1,3G,High,MPUMALANGA
7714A2,3G,High,MPUMALANGA
7714B1,3G,High,MPUMALANGA
7714B2,3G,High,MPUMALANGA
7714C1,3G,High,MPUMALANGA
7714C2,3G,High,MPUMALANGA
7717A,2G,Premium,GAUTENG
7717A1,3G,Premium,GAUTENG
7717A2,3G,Premium,GAUTENG
7717B,2G,Premium,GAUTENG
7717B1,3G,Premium,GAUTENG
7717B2,3G,Premium,GAUTENG
7717C1,3G,Premium,GAUTENG
7717C2,3G,Premium,GAUTENG
7718A1,3G,High,GAUTENG
7718A2,3G,High,GAUTENG
7718B1,3G,High,GAUTENG
7718B2,3G,High,GAUTENG
7718C1,3G,High,GAUTENG
7718C2,3G,High,GAUTENG
771A,2G,Premium,WESTERN CAPE
771A1,3G,Premium,WESTERN CAPE
771A2,3G,Premium,WESTERN CAPE
771B,2G,Premium,WESTERN CAPE
771B1,3G,Premium,WESTERN CAPE
771B2,3G,Premium,WESTERN CAPE
771C,2G,Premium,WESTERN CAPE
771C1,3G,Premium,WESTERN CAPE
771C2,3G,Premium,WESTERN CAPE
7726A1,3G,High,GAUTENG
7726A2,3G,High,GAUTENG
7726B1,3G,High,GAUTENG
7726B2,3G,High,GAUTENG
7726C1,3G,High,GAUTENG
7726C2,3G,High,GAUTENG
7727A1,3G,Premium,GAUTENG
7727A2,3G,Premium,GAUTENG
7727B1,3G,Premium,GAUTENG
7727B2,3G,Premium,GAUTENG
7727C1,3G,Premium,GAUTENG
7727C2,3G,Premium,GAUTENG
772A,2G,Good,WESTERN CAPE
772A1,3G,Good,WESTERN CAPE
772A2,3G,Good,WESTERN CAPE
772B,2G,Good,WESTERN CAPE
772B1,3G,Good,WESTERN CAPE
772B2,3G,Good,WESTERN CAPE
772C,2G,Good,WESTERN CAPE
772C1,3G,Good,WESTERN CAPE
772C2,3G,Good,WESTERN CAPE
7733A1,3G,High,GAUTENG
7733A2,3G,High,GAUTENG
7733B1,3G,High,GAUTENG
7733B2,3G,High,GAUTENG
7733C1,3G,High,GAUTENG
7733C2,3G,High,GAUTENG
7736A1,3G,Premium,GAUTENG
7736A2,3G,Premium,GAUTENG
7736B1,3G,Premium,GAUTENG
7736B2,3G,Premium,GAUTENG
7736C1,3G,Premium,GAUTENG
7736C2,3G,Premium,GAUTENG
773A,2G,Premium,WESTERN CAPE
773A1,3G,Premium,WESTERN CAPE
773A2,3G,Premium,WESTERN CAPE
773B,2G,Premium,WESTERN CAPE
773B1,3G,Premium,WESTERN CAPE
773B2,3G,Premium,WESTERN CAPE
773C,2G,Premium,WESTERN CAPE
773C1,3G,Premium,WESTERN CAPE
773C2,3G,Premium,WESTERN CAPE
7743A,2G,High,EASTERN CAPE
7743A1,3G,High,EASTERN CAPE
7743A2,3G,High,EASTERN CAPE
7743B,2G,High,EASTERN CAPE
7743B1,3G,High,EASTERN CAPE
7743B2,3G,High,EASTERN CAPE
7743C,2G,High,EASTERN CAPE
7743C1,3G,High,EASTERN CAPE
7743C2,3G,High,EASTERN CAPE
7744A,2G,Premium,WESTERN CAPE
7744A1,3G,Premium,WESTERN CAPE
7744B,2G,Premium,WESTERN CAPE
7744B1,3G,Premium,WESTERN CAPE
7744C,2G,Premium,WESTERN CAPE
7744C1,3G,Premium,WESTERN CAPE
7745A,2G,Premium,WESTERN CAPE
7745A1,3G,Premium,WESTERN CAPE
7745B,2G,Premium,WESTERN CAPE
7745B1,3G,Premium,WESTERN CAPE
7745C,2G,Premium,WESTERN CAPE
7745C1,3G,Premium,WESTERN CAPE
7746A,2G,Premium,WESTERN CAPE
7746A1,3G,Premium,WESTERN CAPE
7746A2,3G,Premium,WESTERN CAPE
7746B,2G,Premium,WESTERN CAPE
7746B1,3G,Premium,WESTERN CAPE
7746B2,3G,Premium,WESTERN CAPE
7746C,2G,Premium,WESTERN CAPE
7746C1,3G,Premium,WESTERN CAPE
7746C2,3G,Premium,WESTERN CAPE
7748A,2G,Good,EASTERN CAPE
7748B,2G,Good,EASTERN CAPE
7748C,2G,Good,EASTERN CAPE
7749A,2G,Good,EASTERN CAPE
7749B,2G,Good,EASTERN CAPE
7749C,2G,Good,EASTERN CAPE
774A,2G,Good,WESTERN CAPE
774B,2G,Good,WESTERN CAPE
7754A,2G,Premium,KWAZULU-NATAL
7754A1,3G,Premium,KWAZULU-NATAL
7754A2,3G,Premium,KWAZULU-NATAL
7754B,2G,Premium,KWAZULU-NATAL
7754B1,3G,Premium,KWAZULU-NATAL
7754B2,3G,Premium,KWAZULU-NATAL
7754C,2G,Premium,KWAZULU-NATAL
7754C1,3G,Premium,KWAZULU-NATAL
7754C2,3G,Premium,KWAZULU-NATAL
7755A,2G,Premium,KWAZULU-NATAL
7755A1,3G,Premium,KWAZULU-NATAL
7755A2,3G,Premium,KWAZULU-NATAL
7755B,2G,Premium,KWAZULU-NATAL
7755B1,3G,Premium,KWAZULU-NATAL
7755B2,3G,Premium,KWAZULU-NATAL
7757A,2G,Premium,KWAZULU-NATAL
7757A1,3G,Premium,KWAZULU-NATAL
7757B,2G,Premium,KWAZULU-NATAL
7757B1,3G,Premium,KWAZULU-NATAL
7757C,2G,Premium,KWAZULU-NATAL
7757C1,3G,Premium,KWAZULU-NATAL
7757D,2G,Premium,KWAZULU-NATAL
7757E,2G,Premium,KWAZULU-NATAL
7757F,2G,Premium,KWAZULU-NATAL
7758A,2G,Good,KWAZULU-NATAL
7758A1,3G,Good,KWAZULU-NATAL
7758A2,3G,Good,KWAZULU-NATAL
7758B,2G,Good,KWAZULU-NATAL
7758B1,3G,Good,KWAZULU-NATAL
7758B2,3G,Good,KWAZULU-NATAL
7758C,2G,Good,KWAZULU-NATAL
7758C1,3G,Good,KWAZULU-NATAL
7758C2,3G,Good,KWAZULU-NATAL
7759A,2G,Good,EASTERN CAPE
7759B,2G,Good,EASTERN CAPE
7759C,2G,Good,EASTERN CAPE
775A,2G,Good,EASTERN CAPE
775A1,3G,Good,EASTERN CAPE
775A2,3G,Good,EASTERN CAPE
775B,2G,Good,EASTERN CAPE
775B1,3G,Good,EASTERN CAPE
775B2,3G,Good,EASTERN CAPE
775C,2G,Good,EASTERN CAPE
7765A,2G,High,KWAZULU-NATAL
7765B,2G,High,KWAZULU-NATAL
7765C,2G,High,KWAZULU-NATAL
7766A,2G,High,KWAZULU-NATAL
7766B,2G,High,KWAZULU-NATAL
7766C,2G,High,KWAZULU-NATAL
776A,2G,Good,WESTERN CAPE
776A1,3G,Good,WESTERN CAPE
776A2,3G,Good,WESTERN CAPE
776B,2G,Good,WESTERN CAPE
776B1,3G,Good,WESTERN CAPE
776B2,3G,Good,WESTERN CAPE
776C,2G,Good,WESTERN CAPE
776C1,3G,Good,WESTERN CAPE
776C2,3G,Good,WESTERN CAPE
7771A,2G,Premium,KWAZULU-NATAL
7771A1,3G,Premium,KWAZULU-NATAL
7771B,2G,Premium,KWAZULU-NATAL
7771B1,3G,Premium,KWAZULU-NATAL
7771C,2G,Premium,KWAZULU-NATAL
7771C1,3G,Premium,KWAZULU-NATAL
7778A,2G,Premium,GAUTENG
7778A1,3G,Premium,GAUTENG
7778A2,3G,Premium,GAUTENG
7778B,2G,Premium,GAUTENG
7778B1,3G,Premium,GAUTENG
7778B2,3G,Premium,GAUTENG
7778C,2G,Premium,GAUTENG
7778C1,3G,Premium,GAUTENG
7778C2,3G,Premium,GAUTENG
777A,2G,Good,WESTERN CAPE
777A1,3G,Good,WESTERN CAPE
777B,2G,Good,WESTERN CAPE
777B1,3G,Good,WESTERN CAPE
7780A,2G,Premium,GAUTENG
7780A1,3G,Premium,GAUTENG
7780A2,3G,Premium,GAUTENG
7780B,2G,Premium,GAUTENG
7780B1,3G,Premium,GAUTENG
7780B2,3G,Premium,GAUTENG
7780C,2G,Premium,GAUTENG
7780C1,3G,Premium,GAUTENG
7780C2,3G,Premium,GAUTENG
7782A,2G,Premium,GAUTENG
7782A1,3G,Premium,GAUTENG
7782A2,3G,Premium,GAUTENG
7782B,2G,Premium,GAUTENG
7782B1,3G,Premium,GAUTENG
7782B2,3G,Premium,GAUTENG
7782C,2G,Premium,GAUTENG
7782C1,3G,Premium,GAUTENG
7782C2,3G,Premium,GAUTENG
7787A,2G,Premium,GAUTENG
7787A1,3G,Premium,GAUTENG
7787A2,3G,Premium,GAUTENG
7787B,2G,Premium,GAUTENG
7787B1,3G,Premium,GAUTENG
7787B2,3G,Premium,GAUTENG
7787C,2G,Premium,GAUTENG
7787C1,3G,Premium,GAUTENG
7787C2,3G,Premium,GAUTENG
7789A,2G,High,GAUTENG
7789A1,3G,High,GAUTENG
7789A2,3G,High,GAUTENG
7789B,2G,High,GAUTENG
7789B1,3G,High,GAUTENG
7789B2,3G,High,GAUTENG
7789C,2G,High,GAUTENG
7789C1,3G,High,GAUTENG
7789C2,3G,High,GAUTENG
778A,2G,Good,WESTERN CAPE
778B,2G,Good,WESTERN CAPE
7795A,2G,High,LIMPOPO
7795A1,3G,High,LIMPOPO
7796A,2G,Good,LIMPOPO
7796A1,3G,Good,LIMPOPO
7796B,2G,Good,LIMPOPO
7796B1,3G,Good,LIMPOPO
7796C,2G,Good,LIMPOPO
7796C1,3G,Good,LIMPOPO
7798A,2G,High,GAUTENG
7798B,2G,High,GAUTENG
7798C,2G,High,GAUTENG
779A,2G,High,WESTERN CAPE
779A1,3G,High,WESTERN CAPE
779A2,3G,High,WESTERN CAPE
779B,2G,High,WESTERN CAPE
779B1,3G,High,WESTERN CAPE
779B2,3G,High,WESTERN CAPE
779C,2G,High,WESTERN CAPE
779C1,3G,High,WESTERN CAPE
779C2,3G,High,WESTERN CAPE
77A,2G,High,GAUTENG
77B,2G,High,GAUTENG
77C,2G,High,GAUTENG
7802A,2G,Premium,KWAZULU-NATAL
7802A1,3G,Premium,KWAZULU-NATAL
7802A2,3G,Premium,KWAZULU-NATAL
7804A,2G,Premium,KWAZULU-NATAL
7804A1,3G,Premium,KWAZULU-NATAL
7804A2,3G,Premium,KWAZULU-NATAL
7804B,2G,Premium,KWAZULU-NATAL
7804B1,3G,Premium,KWAZULU-NATAL
7804B2,3G,Premium,KWAZULU-NATAL
7804C,2G,Premium,KWAZULU-NATAL
7804C1,3G,Premium,KWAZULU-NATAL
7804C2,3G,Premium,KWAZULU-NATAL
7805A,2G,Premium,NORTH WEST
7805A1,3G,Premium,NORTH WEST
7805A2,3G,Premium,NORTH WEST
7805B,2G,Premium,NORTH WEST
7805B1,3G,Premium,NORTH WEST
7805B2,3G,Premium,NORTH WEST
7805C,2G,Premium,NORTH WEST
7805C1,3G,Premium,NORTH WEST
7805C2,3G,Premium,NORTH WEST
7808A,2G,High,GAUTENG
7808B,2G,High,GAUTENG
7808C,2G,High,GAUTENG
780A,2G,Good,NORTHERN CAPE
780B,2G,Good,NORTHERN CAPE
7814A,2G,Premium,GAUTENG
7814A1,3G,Premium,GAUTENG
7814A2,3G,Premium,GAUTENG
7814B,2G,Premium,GAUTENG
7814B1,3G,Premium,GAUTENG
7814B2,3G,Premium,GAUTENG
7814C,2G,Premium,GAUTENG
7814C1,3G,Premium,GAUTENG
7814C2,3G,Premium,GAUTENG
7817A1,3G,Premium,GAUTENG
7817A2,3G,Premium,GAUTENG
7817B1,3G,Premium,GAUTENG
7817B2,3G,Premium,GAUTENG
7817DA,2G,Premium,GAUTENG
7817DB,2G,Premium,GAUTENG
7818A1,3G,Premium,GAUTENG
7818A2,3G,Premium,GAUTENG
7818B1,3G,Premium,GAUTENG
7818B2,3G,Premium,GAUTENG
7818DA,2G,Premium,GAUTENG
7819A1,3G,Premium,GAUTENG
7819A2,3G,Premium,GAUTENG
7819B1,3G,Premium,GAUTENG
7819B2,3G,Premium,GAUTENG
7819C1,3G,Premium,GAUTENG
7819C2,3G,Premium,GAUTENG
7819DA,2G,Premium,GAUTENG
7819DB,2G,Premium,GAUTENG
7819DC,2G,Premium,GAUTENG
781A,2G,Good,WESTERN CAPE
7821A1,3G,Premium,GAUTENG
7821B1,3G,Premium,GAUTENG
7821DA,2G,Premium,GAUTENG
7821DB,2G,Premium,GAUTENG
7822A,2G,Premium,GAUTENG
7825A,2G,Premium,GAUTENG
7825A1,3G,Premium,GAUTENG
7825B,2G,Premium,GAUTENG
7825B1,3G,Premium,GAUTENG
7825C,2G,Premium,GAUTENG
7825C1,3G,Premium,GAUTENG
7827A,2G,Premium,GAUTENG
7827A1,3G,Premium,GAUTENG
7827B,2G,Premium,GAUTENG
7827B1,3G,Premium,GAUTENG
7827C,2G,Premium,GAUTENG
7827C1,3G,Premium,GAUTENG
7828A,2G,Premium,GAUTENG
7828A1,3G,Premium,GAUTENG
7828A2,3G,Premium,GAUTENG
7828B,2G,Premium,GAUTENG
7828B1,3G,Premium,GAUTENG
7828B2,3G,Premium,GAUTENG
7828C,2G,Premium,GAUTENG
7828C1,3G,Premium,GAUTENG
7828C2,3G,Premium,GAUTENG
7829A,2G,Good,MPUMALANGA
7829B,2G,Good,MPUMALANGA
7829C,2G,Good,MPUMALANGA
782A,2G,Good,KWAZULU-NATAL
782B,2G,Good,KWAZULU-NATAL
782C,2G,Good,KWAZULU-NATAL
7834A1,3G,High,GAUTENG
7834A2,3G,High,GAUTENG
7834B1,3G,High,GAUTENG
7834B2,3G,High,GAUTENG
7834C1,3G,High,GAUTENG
7834C2,3G,High,GAUTENG
7837A,2G,High,EASTERN CAPE
